"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.826,0.769,0.721,0.796,0.746,0.673,0.764,0.684,0.581
"FE","RE-Mean","FE",0.938,0.926,0.933,0.937,0.924,0.931,0.918,0.923,0.908
"FE","RE","FE",0.938,0.925,0.931,0.933,0.923,0.931,0.915,0.922,0.906
"FE","SL","FE",0.297,0.435,0.538,0.183,0.257,0.404,0.069,0.074,0.129
"RE-Mean","FE","FE",0.852,0.796,0.751,0.822,0.766,0.707,0.785,0.71,0.603
"RE-Mean","RE-Mean","FE",0.938,0.934,0.937,0.935,0.926,0.933,0.921,0.925,0.912
"RE-Mean","RE","FE",0.937,0.932,0.938,0.935,0.926,0.933,0.919,0.923,0.912
"RE-Mean","SL","FE",0.004,0.031,0.131,0.009,0.028,0.1,0.011,0.013,0.033
"RE","FE","FE",0.853,0.794,0.75,0.824,0.767,0.704,0.787,0.707,0.601
"RE","RE-Mean","FE",0.94,0.933,0.937,0.935,0.929,0.932,0.921,0.922,0.913
"RE","RE","FE",0.939,0.932,0.937,0.935,0.928,0.931,0.922,0.921,0.912
"RE","SL","FE",0.004,0.031,0.13,0.009,0.024,0.1,0.01,0.014,0.034
"SL","FE","FE",0.958,0.949,0.949,0.951,0.943,0.957,0.951,0.942,0.941
"SL","RE-Mean","FE",0.956,0.943,0.95,0.95,0.942,0.95,0.954,0.935,0.936
"SL","RE","FE",0.941,0.936,0.937,0.942,0.931,0.947,0.94,0.935,0.939
"SL","SL","FE",0,0,0,0,0,0,0,0,0
"FE","FE","RE",0.845,0.807,0.791,0.819,0.787,0.756,0.791,0.761,0.715
"FE","RE-Mean","RE",0.944,0.937,0.954,0.941,0.936,0.951,0.924,0.94,0.939
"FE","RE","RE",0.943,0.937,0.955,0.939,0.933,0.951,0.924,0.94,0.939
"FE","SL","RE",0.263,0.43,0.565,0.166,0.255,0.423,0.065,0.073,0.137
"RE-Mean","FE","RE",0.849,0.82,0.801,0.83,0.797,0.778,0.796,0.771,0.723
"RE-Mean","RE-Mean","RE",0.946,0.937,0.952,0.939,0.934,0.956,0.926,0.939,0.941
"RE-Mean","RE","RE",0.941,0.934,0.951,0.934,0.929,0.955,0.925,0.941,0.94
"RE-Mean","SL","RE",0.001,0.029,0.134,0.005,0.025,0.104,0.007,0.014,0.041
"RE","FE","RE",0.848,0.819,0.8,0.832,0.8,0.777,0.797,0.77,0.725
"RE","RE-Mean","RE",0.945,0.935,0.95,0.939,0.937,0.954,0.927,0.94,0.941
"RE","RE","RE",0.939,0.936,0.951,0.93,0.932,0.954,0.926,0.94,0.939
"RE","SL","RE",0.001,0.025,0.134,0.005,0.024,0.103,0.007,0.015,0.038
"SL","FE","RE",0.959,0.942,0.949,0.95,0.94,0.951,0.95,0.94,0.944
"SL","RE-Mean","RE",0.955,0.942,0.939,0.955,0.94,0.95,0.948,0.938,0.939
"SL","RE","RE",0.896,0.914,0.932,0.901,0.918,0.938,0.912,0.927,0.933
"SL","SL","RE",0,0,0,0,0,0,0,0,0
"FE","FE","RE-Mean",0.849,0.815,0.79,0.832,0.794,0.759,0.815,0.771,0.723
"FE","RE-Mean","RE-Mean",0.948,0.935,0.956,0.947,0.943,0.955,0.933,0.943,0.944
"FE","RE","RE-Mean",0.948,0.937,0.955,0.947,0.942,0.955,0.933,0.94,0.942
"FE","SL","RE-Mean",0.308,0.452,0.58,0.189,0.275,0.433,0.074,0.083,0.144
"RE-Mean","FE","RE-Mean",0.87,0.831,0.807,0.847,0.804,0.787,0.818,0.779,0.733
"RE-Mean","RE-Mean","RE-Mean",0.946,0.937,0.956,0.946,0.942,0.953,0.932,0.941,0.945
"RE-Mean","RE","RE-Mean",0.945,0.937,0.957,0.946,0.944,0.953,0.936,0.939,0.945
"RE-Mean","SL","RE-Mean",0.004,0.033,0.144,0.011,0.032,0.11,0.012,0.016,0.043
"RE","FE","RE-Mean",0.868,0.833,0.809,0.846,0.804,0.785,0.82,0.781,0.731
"RE","RE-Mean","RE-Mean",0.947,0.937,0.956,0.946,0.942,0.953,0.932,0.941,0.945
"RE","RE","RE-Mean",0.943,0.937,0.957,0.946,0.944,0.953,0.937,0.94,0.945
"RE","SL","RE-Mean",0.003,0.033,0.146,0.01,0.03,0.11,0.011,0.017,0.043
"SL","FE","RE-Mean",0.958,0.95,0.95,0.953,0.945,0.957,0.953,0.945,0.944
"SL","RE-Mean","RE-Mean",0.959,0.941,0.949,0.952,0.944,0.951,0.952,0.935,0.942
"SL","RE","RE-Mean",0.927,0.93,0.935,0.937,0.931,0.947,0.934,0.937,0.941
